id_nivelriesgo,id_dispositivo,Puntuacion,Nivel_detectado,Vegetacion,Estacion
249,1,1.33333,bajo,Sin vegetación,Seca
250,1,1.0,bajo,Sin vegetación,Seca
251,1,1.33333,bajo,Sin vegetación,Seca
252,1,1.0,bajo,Sin vegetación,Seca
253,1,1.33333,bajo,Sin vegetación,Seca
254,1,1.33333,bajo,Sin vegetación,Seca
255,1,1.33333,bajo,Sin vegetación,Seca
256,1,1.33333,bajo,Sin vegetación,Seca
257,1,1.33333,bajo,Sin vegetación,Seca
258,1,1.33333,bajo,Sin vegetación,Seca
259,1,1.0,bajo,Sin vegetación,Seca
260,1,1.0,bajo,Sin vegetación,Seca
261,1,1.33333,bajo,Sin vegetación,Seca
262,1,1.0,bajo,Sin vegetación,Seca
263,1,1.33333,bajo,Sin vegetación,Seca
264,1,1.33333,bajo,Sin vegetación,Seca
265,1,1.0,bajo,Sin vegetación,Seca
266,1,1.33333,bajo,Sin vegetación,Seca
267,1,1.33333,bajo,Sin vegetación,Seca
268,1,1.33333,bajo,Sin vegetación,Seca
269,1,1.33333,bajo,Sin vegetación,Seca
270,1,1.33333,bajo,Sin vegetación,Seca
271,1,1.33333,bajo,Sin vegetación,Seca
272,1,1.0,bajo,Sin vegetación,Seca
273,1,1.33333,bajo,Sin vegetación,Seca
274,1,1.0,bajo,Sin vegetación,Seca
275,1,1.33333,bajo,Sin vegetación,Seca
276,1,1.33333,bajo,Sin vegetación,Seca
277,1,1.0,bajo,Sin vegetación,Seca
278,1,1.33333,bajo,Sin vegetación,Seca
279,1,1.33333,bajo,Sin vegetación,Seca
280,1,1.33333,bajo,Sin vegetación,Seca
281,1,1.33333,bajo,Sin vegetación,Seca
282,1,1.0,bajo,Sin vegetación,Seca
283,1,1.33333,bajo,Sin vegetación,Seca
284,1,1.33333,bajo,Sin vegetación,Seca
285,1,1.0,bajo,Sin vegetación,Seca
286,1,1.33333,bajo,Sin vegetación,Seca
287,1,1.0,bajo,Sin vegetación,Seca
288,1,1.33333,bajo,Sin vegetación,Seca
289,1,1.33333,bajo,Sin vegetación,Seca
290,1,1.0,bajo,Sin vegetación,Seca
291,1,1.33333,bajo,Sin vegetación,Seca
292,1,1.33333,bajo,Sin vegetación,Seca
